"titleId","title"
"ZbZdruDel.1990-07-19.s004-02.toc-item10","Predlog zakona o spremembah in dopolnitvah zakon o pokojninskem in invalidskem zavarovanju (15. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item11","Predlog zakon o dopolnitvah zakona o posebnem prometnem davku (16. točka dnevnega reda, usklajevanje str. 189)"
"ZbZdruDel.1990-07-19.s004-02.toc-item12","Usklajevanje o predlogu odlokov o ustanovitvi, nalogah in sestavi nekaterih delovnih teles Skupščine Republike Slovenije (2. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item13","Analiza stanja na področju živinoreje v Republiki Sloveniji (17. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item1","Razširitev in usklajevanje dnevnega reda"
"ZbZdruDel.1990-07-30.s004-03.toc-item2","Poročilo delegacije Skupščine Republike Slovenije v Zboru republik in pokrajin Skupščine SFRJ o poteku usklajevanja nekaterih aktov iz pristojnosti tega zbora (19. a točka dnevnega reda, usklajevanje str. 195)"
"ZbZdruDel.1990-07-30.s004-03.toc-item3","Informacija o pogovoru delegatov iz Republike Slovenije v Zveznem zboru Skupščine SFRJ, ki je bil 12.7.1990 (19.b točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item4","Poročilo Komisije Skupščine Republike Slovenije za ustavna vprašanja v zvezi z obravnavo akta o spremembi ustave SFRJ (19. c točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item5","Osnutek zakona o spremembah in dopolnitvah zakona o skupnem obsegu proračunskih odhodkov federacije za leto 1990 (20. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item6","Osnutek odloka o spremembah in dopolnitvah odloka o ciljih in nalogah skupne monetarne politike ter skupnih temeljev kreditne politike v letu 1990 (21. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item7","22. točka dnevnega reda je strogo zaupne narave"
"ZbZdruDel.1990-07-30.s004-03.toc-item8","Osnutek odloka o spremembah in dopolnitvah odloka o predračunu odhodkov tečajnih razlik in določenih zunanjih kreditov za leto 1990 (23. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item9","Osnutek odhodka o dopolnitvi odloka o višini regresa za umetna gnojila sredstev za varstvo rastlin in kakovostno sortno seme za leto 1990 (24. točka dnevnega reda)"
